user;date;text;location;retweeter_usr
eileenvn;Thu Feb 10 16:43:53 +0000 2022;RT @AndrewDyke11: @chrislowndes He’s in trouble, so what’s he do to take attention away? 1. Promises Tory MPs that he’ll take all Covid res…;london;KatyaYushchenko
moutet;Thu Feb 10 16:43:14 +0000 2022;"RT @anders_aslund: Russia has blocked all sea access to Ukraine.
Isn't this an act of war?
Shouldn't the West respond by imposing its promi…";Paris;KatyaYushchenko
AgnesClackett;Thu Feb 10 16:42:59 +0000 2022;"RT @EHijacked: Russia mocks Truss as PM says crisis at ‘most dangerous moment’ 

| The Independent https://t.co/NKK6HqZWgD";London, England;KatyaYushchenko
FlaxmanMark;Thu Feb 10 16:41:06 +0000 2022;RT @GBNEWS: 'We are not going to go to war over Ukraine and to be absolutely honest we're never going to allow Ukraine to join the NATO org…;Pinchbeck, England;KatyaYushchenko
roadexplorer;Thu Feb 10 16:40:09 +0000 2022;RT @ABC: Russia has officially kicked off the main phase of huge joint military exercises in Belarus, as Western countries continue to warn…;日本各所;KatyaYushchenko
cvneuves;Thu Feb 10 16:40:09 +0000 2022;"RT @WorkersPartyGB: You won't see this on the BBC. 
No to Imperialist Agression. 
An antiwar rally in Kiev in front of US embassy in Ukrain…";My Posterior;KatyaYushchenko
Andy_Scollick;Thu Feb 10 16:40:07 +0000 2022;RT @InformNapalm: 7 years ago, Feb 10, 2015, Russian hybrid armed groups shelled Ukrainian city of Kramatorsk using Smerch MLRS. #Ukraine…;West Cork, Ireland;KatyaYushchenko
izenku;Thu Feb 10 16:38:59 +0000 2022;RT @trussliz: This week I am in Moscow to deliver a strong message that war in Ukraine would be disastrous for Russia, Ukraine and European…;Naperville, I-290, Chicago;KatyaYushchenko
nisathedon;Thu Feb 10 16:38:47 +0000 2022;RT @McFaul: Putin knows one tragic fact about NATO that many on my twitter feed dont. NATO wont accept new members who have Russian soldier…;Jamaica;KatyaYushchenko
Amyk6801;Thu Feb 10 16:38:35 +0000 2022;RT @McFaul: Putin knows one tragic fact about NATO that many on my twitter feed dont. NATO wont accept new members who have Russian soldier…;Port Jervis, NY;KatyaYushchenko
Geo45;Thu Feb 10 16:38:25 +0000 2022;"RT @MayadeenEnglish: #Denmark is the latest member of #NATO to join the #US in its war campaign against #Russia.

#Ukraine https://t.co/MFE…";World;KatyaYushchenko
HansOust;Thu Feb 10 16:38:02 +0000 2022;"RT @anders_aslund: Russia has blocked all sea access to Ukraine.
Isn't this an act of war?
Shouldn't the West respond by imposing its promi…";Trondheim;KatyaYushchenko
tinaarlington;Thu Feb 10 16:37:44 +0000 2022;RT @McFaul: Putin knows one tragic fact about NATO that many on my twitter feed dont. NATO wont accept new members who have Russian soldier…;New Jersey, USA;KatyaYushchenko
saad_aldossary2;Thu Feb 10 16:37:34 +0000 2022;"RT @Big_Orrin: Will Liz Truss be the trigger to start the Russia- Ukraine war? 

Dear God, she is inept and she is one of the favourites to…";Kingdom of Saudi Arabia;KatyaYushchenko
MarjukkaKaminen;Thu Feb 10 16:37:21 +0000 2022;"RT @anders_aslund: Russia has blocked all sea access to Ukraine.
Isn't this an act of war?
Shouldn't the West respond by imposing its promi…";Oulu, Finland 🇫🇮🇪🇺🇺🇸;KatyaYushchenko
tufkaa;Thu Feb 10 16:37:05 +0000 2022;RT @olgatokariuk: Ukraine’s GDP increased by 3.2% in 2021. Despite the pandemic, the ongoing war, and the threat of another invasion by Rus…;NYC;KatyaYushchenko
obadiahmurdoch8;Thu Feb 10 16:36:40 +0000 2022;RT @GBNEWS: 'We are not going to go to war over Ukraine and to be absolutely honest we're never going to allow Ukraine to join the NATO org…;Scotland, Great Britain;KatyaYushchenko
MissPuskar;Thu Feb 10 16:36:28 +0000 2022;RT @McFaul: Putin knows one tragic fact about NATO that many on my twitter feed dont. NATO wont accept new members who have Russian soldier…;Washington, DC;KatyaYushchenko
FlaxmanMark;Thu Feb 10 16:36:19 +0000 2022;RT @trussliz: This week I am in Moscow to deliver a strong message that war in Ukraine would be disastrous for Russia, Ukraine and European…;Pinchbeck, England;KatyaYushchenko
ThatAlexWoman;Thu Feb 10 16:36:00 +0000 2022;RT @GBNEWS: 'We are not going to go to war over Ukraine and to be absolutely honest we're never going to allow Ukraine to join the NATO org…;London, England;KatyaYushchenko
PeterBa82304711;Thu Feb 10 16:34:51 +0000 2022;RT @openDemocracy: Today, Belarus begins joint military exercises with Russia. The official scenario projects a regional war between them a…;Reading, UK;KatyaYushchenko
m_hostage;Thu Feb 10 16:34:24 +0000 2022;RT @trussliz: This week I am in Moscow to deliver a strong message that war in Ukraine would be disastrous for Russia, Ukraine and European…; Handmaids Tale Texas;KatyaYushchenko
scrathefox;Thu Feb 10 16:34:18 +0000 2022;RT @ABC: Russia has officially kicked off the main phase of huge joint military exercises in Belarus, as Western countries continue to warn…;Bretagne, France;KatyaYushchenko
kingofkgn;Thu Feb 10 16:33:11 +0000 2022;RT @McFaul: Putin knows one tragic fact about NATO that many on my twitter feed dont. NATO wont accept new members who have Russian soldier…;Counsel's Bench, Jamaica;KatyaYushchenko
Edin_Dedovic;Thu Feb 10 16:33:05 +0000 2022;RT @jbdacey: War in Ukraine would have ripple effects on the Middle East. With @ECFRMena colleagues we assess possible energy, geopolitical…;Berlin;KatyaYushchenko
RMBlaber56;Thu Feb 10 16:33:02 +0000 2022;RT @MetroUK: Russia has sent troops and weapons to Crimea as Vladimir Putin warns of nuclear war if Ukraine joins Nato. https://t.co/gDzyaM…;Northamptonshire, England.;KatyaYushchenko
KHShan;Thu Feb 10 16:31:38 +0000 2022;RT @McFaul: Putin knows one tragic fact about NATO that many on my twitter feed dont. NATO wont accept new members who have Russian soldier…;Great Southwest & SE Coast;KatyaYushchenko
NattyCranberry;Thu Feb 10 16:31:28 +0000 2022;RT @ABC: Russia has officially kicked off the main phase of huge joint military exercises in Belarus, as Western countries continue to warn…;Dublin City, Ireland;KatyaYushchenko
HanumeZiba;Thu Feb 10 16:30:58 +0000 2022;"RT @anders_aslund: Russia has blocked all sea access to Ukraine.
Isn't this an act of war?
Shouldn't the West respond by imposing its promi…";Monaco;KatyaYushchenko
EnterUsernamea1;Thu Feb 10 16:30:00 +0000 2022;RT @HoaxMiddle: 💣🇺🇸🇷🇺 This is what a war with #Russia would look like. It would not be limited to #Ukraine, but extend to battlefields in t…;Bed ;KatyaYushchenko
tufkaa;Thu Feb 10 16:29:58 +0000 2022;RT @vorozhbyt: These numbers are incredible. 62% of respondents of the poll think that NATO should come to Ukraine’s defence if Russia inva…;NYC;KatyaYushchenko
HomerSakai;Thu Feb 10 16:29:50 +0000 2022;RT @ABC: Russia has officially kicked off the main phase of huge joint military exercises in Belarus, as Western countries continue to warn…;North of Frozen Tundra;KatyaYushchenko
jeanpolpinochet;Thu Feb 10 16:29:46 +0000 2022;RT @InformNapalm: 7 years ago, Feb 10, 2015, Russian hybrid armed groups shelled Ukrainian city of Kramatorsk using Smerch MLRS. #Ukraine…;Wuhan,China;KatyaYushchenko
demuromarquez;Thu Feb 10 16:29:22 +0000 2022;"RT @anders_aslund: Russia has blocked all sea access to Ukraine.
Isn't this an act of war?
Shouldn't the West respond by imposing its promi…";California, USA;KatyaYushchenko
ubco2;Thu Feb 10 16:29:16 +0000 2022;"RT @anders_aslund: Russia has blocked all sea access to Ukraine.
Isn't this an act of war?
Shouldn't the West respond by imposing its promi…";Washington, DC ;KatyaYushchenko
MSpadine;Thu Feb 10 16:29:06 +0000 2022;RT @AP_Europe: VIDEO: Thousands of Russian troops are engaging in sweeping maneuvers in Belarus amid intense diplomacy to prevent war from…;Brazil, IN;KatyaYushchenko
rofl_GAANDi;Thu Feb 10 16:28:58 +0000 2022;RT @choo_bear: I have an idea. I request @UN security council to declare Hijab the official costume of Russia and Ukraine soldiers. They wi…;Ontario, CA;KatyaYushchenko
bnmsibata;Thu Feb 10 16:28:50 +0000 2022;RT @ABC: Russia has officially kicked off the main phase of huge joint military exercises in Belarus, as Western countries continue to warn…;日本 ;KatyaYushchenko
sxeishorty;Thu Feb 10 16:28:42 +0000 2022;RT @ABC: Russia has officially kicked off the main phase of huge joint military exercises in Belarus, as Western countries continue to warn…;God Blessed Land;KatyaYushchenko
h_lovatt;Thu Feb 10 16:28:16 +0000 2022;RT @jbdacey: War in Ukraine would have ripple effects on the Middle East. With @ECFRMena colleagues we assess possible energy, geopolitical…;London;KatyaYushchenko
mrrobertgreyson;Thu Feb 10 16:28:03 +0000 2022;"RT @anders_aslund: Russia has blocked all sea access to Ukraine.
Isn't this an act of war?
Shouldn't the West respond by imposing its promi…";Cheshunt, Herts;KatyaYushchenko
Marlyn99802970;Thu Feb 10 16:28:00 +0000 2022;RT @ABC: Russia has officially kicked off the main phase of huge joint military exercises in Belarus, as Western countries continue to warn…;Monaco;KatyaYushchenko
O3kpCoKvQuCm0LG;Thu Feb 10 16:27:47 +0000 2022;RT @ABC: Russia has officially kicked off the main phase of huge joint military exercises in Belarus, as Western countries continue to warn…;翔んで埼玉;KatyaYushchenko
RomanticBallad;Thu Feb 10 16:27:40 +0000 2022;RT @ABC: Russia has officially kicked off the main phase of huge joint military exercises in Belarus, as Western countries continue to warn…;The Co-op Circle of Hell;KatyaYushchenko
dvieriu;Thu Feb 10 16:27:33 +0000 2022;RT @WSJ: Residents of Ukraine’s capital are buying guns and learning first aid in case Russia attacks. “The scariest thing is uncertainty,”…;Palatine, IL;KatyaYushchenko
kerziouk;Thu Feb 10 16:26:41 +0000 2022;RT @ABC: Russia has officially kicked off the main phase of huge joint military exercises in Belarus, as Western countries continue to warn…;London;KatyaYushchenko
Harperlodi;Thu Feb 10 16:26:38 +0000 2022;RT @ABC: Russia has officially kicked off the main phase of huge joint military exercises in Belarus, as Western countries continue to warn…;United States Wi;KatyaYushchenko
Raamana_;Thu Feb 10 16:25:52 +0000 2022;RT @ggreenwald: Reasonably good @BernieSanders op-ed on Ukraine. It contains Bernie's standard Russia bashing, now obligatory in Dem politi…;Pittsburgh, PA;KatyaYushchenko
joeevanswrites;Thu Feb 10 16:25:48 +0000 2022;RT @TheWeekUK: Russia and Belarus have begun ten days of joint military drills, a move that US officials described as “escalatory” measure.…;London;KatyaYushchenko
suevisa;Thu Feb 10 16:25:00 +0000 2022;RT @TimothyDSnyder: “Our position is quite simple. Russia does not need a war with Ukraine and the West. No one is threatening us, no one i…;Oakland, CA;KatyaYushchenko
SusanneMHeLaven;Thu Feb 10 16:24:51 +0000 2022;"RT @RFERL: French Foreign Minister Jean-Yves Le Drian called the ""extremely massive"" drills ""a very violent gesture.""

https://t.co/3Flqatr…";Stockholm, Sweden;KatyaYushchenko
Patriautic;Thu Feb 10 16:24:38 +0000 2022;"RT @Patriautic: RUMORS OF WAR: Russia begins major military exercise that West fears is cover for attacking Ukraine… 

https://t.co/AuwZJ7k…";Massachusetts, USA;KatyaYushchenko
mickbk;Thu Feb 10 16:24:25 +0000 2022;"RT @SBHendrix: “It’s brothers against brothers, and this division must resolve somehow.” 
@maryilyushina with a rare dispatch from Russia’s…";London;KatyaYushchenko
apadillac2003;Thu Feb 10 16:24:10 +0000 2022;RT @AP_Europe: VIDEO: Thousands of Russian troops are engaging in sweeping maneuvers in Belarus amid intense diplomacy to prevent war from…;Guadalajara, Jalisco;KatyaYushchenko
MariaSchenetzke;Thu Feb 10 16:24:06 +0000 2022;"RT @LT_OSCE: Lithuania🇱🇹 will provide defensive weapons to Ukraine🇺🇦. 

But we also sincerely hope Russia will choose diplomacy and not war…";Little Rock, AR;KatyaYushchenko
vanajkay;Thu Feb 10 16:23:37 +0000 2022;"RT @anders_aslund: Russia has blocked all sea access to Ukraine.
Isn't this an act of war?
Shouldn't the West respond by imposing its promi…";Vancouver B.C. Canada;KatyaYushchenko
Grandmisteralex;Thu Feb 10 16:23:22 +0000 2022;RT @trussliz: This week I am in Moscow to deliver a strong message that war in Ukraine would be disastrous for Russia, Ukraine and European…;Киев.;KatyaYushchenko
Peachfu08019815;Thu Feb 10 16:23:11 +0000 2022;RT @exjon: By the time Kamala leaves that meeting, Russia and Germany will forget about Ukraine and both will declare war on America.;Middle of Nowwhere;KatyaYushchenko
livelifetolove5;Thu Feb 10 16:22:28 +0000 2022;"RT @PatriotPost: The implications of Biden’s failure beyond Afghanistan are dire.
#JoeBiden #Afghanistan #AfghanistanCrisis #nationalsecuri…";USA;KatyaYushchenko
Priyachdhry4;Thu Feb 10 16:21:12 +0000 2022;"RT @AJEnglish: Ukrainian President Volodymyr Zelenskyy has denounced the war games launched by Russia and Belarus:

“The accumulation of fo…";India;KatyaYushchenko
ommarreshi;Thu Feb 10 16:21:03 +0000 2022;RT @AJEnglish: Men who left Russia in 2014 to join rebels in eastern Ukraine have differing views on where today’s conflict is headed ⤵️ ht…;34.0837° N & 74.7973° E;KatyaYushchenko
phyll_nii;Thu Feb 10 16:20:30 +0000 2022;RT @McFaul: Putin knows one tragic fact about NATO that many on my twitter feed dont. NATO wont accept new members who have Russian soldier…;Somewhere in the world;KatyaYushchenko
Schastyeest;Thu Feb 10 16:19:37 +0000 2022;"RT @RFERL: French Foreign Minister Jean-Yves Le Drian called the ""extremely massive"" drills ""a very violent gesture.""

https://t.co/3Flqatr…";💙 💛 Україна ;KatyaYushchenko
mollysmcdonough;Thu Feb 10 16:19:06 +0000 2022;RT @McFaul: Putin knows one tragic fact about NATO that many on my twitter feed dont. NATO wont accept new members who have Russian soldier…;pennington, nj;KatyaYushchenko
DeansherryS;Thu Feb 10 16:19:06 +0000 2022;RT @McFaul: Putin knows one tragic fact about NATO that many on my twitter feed dont. NATO wont accept new members who have Russian soldier…;Rockford, IL;KatyaYushchenko
freedom1970a;Thu Feb 10 16:17:40 +0000 2022;"RT @anders_aslund: Russia has blocked all sea access to Ukraine.
Isn't this an act of war?
Shouldn't the West respond by imposing its promi…";Poland ;KatyaYushchenko
themusekill;Thu Feb 10 16:17:23 +0000 2022;RT @nakashimae: ‘We need to go’: A burst of gunfire on Ukraine’s front line and echoes of wider risks with Russia. via @SBHendrix https://t…;Philly burbs;KatyaYushchenko
FaazNoushad;Thu Feb 10 16:16:39 +0000 2022;RT @olgatokariuk: A heartbreaking long read from the BBC on the hidden costs of Russia's war against Ukraine. Thank you @PaulNiland for you…;Kerala, India;KatyaYushchenko
DebessCab;Thu Feb 10 16:16:09 +0000 2022;"RT @BroSpencer: Alex Jones said that the US govt uses crisis actors &amp; false flag attacks as a pretext for war, &amp; he is a conspiracy theoris…";London;KatyaYushchenko
openDemocracy;Thu Feb 10 16:16:02 +0000 2022;RT @opendemocracyru: Today, Belarus begins joint military exercises with Russia.  The official scenario projects a regional war between the…;London;KatyaYushchenko
RHossova;Thu Feb 10 16:16:00 +0000 2022;"RT @Politics_Oxford: Rather than the mere avoidance of war, Ukraine requires a lasting solution that can bring genuine peace &amp; security.

T…";London, England;KatyaYushchenko
UmlandAndreas;Thu Feb 10 16:15:43 +0000 2022;RT @olgatokariuk: A heartbreaking long read from the BBC on the hidden costs of Russia's war against Ukraine. Thank you @PaulNiland for you…;Kyiv;KatyaYushchenko
InfluencePoint;Thu Feb 10 16:15:37 +0000 2022;RT @olgatokariuk: A heartbreaking long read from the BBC on the hidden costs of Russia's war against Ukraine. Thank you @PaulNiland for you…;United States;KatyaYushchenko
Ooni_of_Lagos;Thu Feb 10 16:15:37 +0000 2022;"RT @486timetable: @ashindestad 🇺🇦Ukraine is suffering 8 years of war from #Russia.

Let me take YOUR money, then suggest everyone  CALM  DO…";Lagos;KatyaYushchenko
Mr_Kevin_1997;Thu Feb 10 16:13:59 +0000 2022;RT @olgatokariuk: A heartbreaking long read from the BBC on the hidden costs of Russia's war against Ukraine. Thank you @PaulNiland for you…;London, United Kingdom;KatyaYushchenko
freedom1970a;Thu Feb 10 16:13:56 +0000 2022;"RT @RFERL: French Foreign Minister Jean-Yves Le Drian called the ""extremely massive"" drills ""a very violent gesture.""

https://t.co/3Flqatr…";Poland ;KatyaYushchenko
MuhammadAli527;Thu Feb 10 16:13:50 +0000 2022;RT @LBC: Europe is facing its biggest security crisis in decades, Boris Johnson said as he indicated further support could be offered to Uk…;Islamabad, Pakistan;KatyaYushchenko
Anur44060464;Thu Feb 10 16:13:40 +0000 2022;RT @choo_bear: I have an idea. I request @UN security council to declare Hijab the official costume of Russia and Ukraine soldiers. They wi…;India;KatyaYushchenko
Sanatani00;Thu Feb 10 16:11:07 +0000 2022;RT @choo_bear: I have an idea. I request @UN security council to declare Hijab the official costume of Russia and Ukraine soldiers. They wi…;Bharat;KatyaYushchenko
viktorsald;Thu Feb 10 16:10:17 +0000 2022;RT @AP_Europe: VIDEO: Thousands of Russian troops are engaging in sweeping maneuvers in Belarus amid intense diplomacy to prevent war from…;finis terrae;KatyaYushchenko
c_thomsen;Thu Feb 10 16:09:36 +0000 2022;RT @McFaul: Putin knows one tragic fact about NATO that many on my twitter feed dont. NATO wont accept new members who have Russian soldier…;Davis, CA;KatyaYushchenko
KarlHeinrichMm;Thu Feb 10 16:08:37 +0000 2022;"RT @anders_aslund: Russia has blocked all sea access to Ukraine.
Isn't this an act of war?
Shouldn't the West respond by imposing its promi…";London, United Kingdom;KatyaYushchenko
MarysF_ingTired;Thu Feb 10 16:07:42 +0000 2022;"RT @AJEnglish: Ukrainian President Volodymyr Zelenskyy has denounced the war games launched by Russia and Belarus:

“The accumulation of fo…";Misanthropy;KatyaYushchenko
rohithiware;Thu Feb 10 16:07:09 +0000 2022;"RT @WIONews: A new report has claimed that Ukraine is crowdfunding donations in Bitcoin to fund a possible war against Russia

https://t.co…";India;KatyaYushchenko
Sustain_Urban;Thu Feb 10 16:04:52 +0000 2022;"RT @anders_aslund: Russia has blocked all sea access to Ukraine.
Isn't this an act of war?
Shouldn't the West respond by imposing its promi…";SIN | DXB | LDN;KatyaYushchenko
be3_max;Thu Feb 10 16:03:30 +0000 2022;"RT @anders_aslund: Russia has blocked all sea access to Ukraine.
Isn't this an act of war?
Shouldn't the West respond by imposing its promi…";Kiev;KatyaYushchenko
NeilDavoDavies1;Thu Feb 10 16:03:23 +0000 2022;"RT @sammythedog1989: 2) WEST. IMO it  isn't Russia who are the threat it is the ""private members army"" NATO who are the threat. In respect…";Wales;KatyaYushchenko
mamagerka;Thu Feb 10 16:03:22 +0000 2022;RT @AP_Europe: VIDEO: Thousands of Russian troops are engaging in sweeping maneuvers in Belarus amid intense diplomacy to prevent war from…;Texas;KatyaYushchenko
NeilDavoDavies1;Thu Feb 10 16:03:18 +0000 2022;RT @sammythedog1989: 1) The possibility of war between Russia and Ukraine is a wholly manufactured situation by the WEST, with the relentle…;Wales;KatyaYushchenko
defpriorities;Thu Feb 10 16:03:14 +0000 2022;"RT @defpriorities: The U.S. is ""not postured for war in Europe and we're not postured for war in Asia. The force layout is just not suffici…";Washington, DC;KatyaYushchenko
MarisciaFox;Thu Feb 10 16:02:56 +0000 2022;RT @mhmck: A titushki rent-a-mob is successfully assaulting Ottawa residents because Canada is a soft target. As Russia's invasion of Ukrai…;Boston, MA;KatyaYushchenko
1212prometheus;Thu Feb 10 16:02:01 +0000 2022;RT @trussliz: This week I am in Moscow to deliver a strong message that war in Ukraine would be disastrous for Russia, Ukraine and European…;Norway;KatyaYushchenko
lima_alpha_lima;Thu Feb 10 16:01:35 +0000 2022;"RT @RFERL: French Foreign Minister Jean-Yves Le Drian called the ""extremely massive"" drills ""a very violent gesture.""

https://t.co/3Flqatr…";NJ/VA HQ 🍯;KatyaYushchenko
AndreIvakhnenko;Thu Feb 10 16:01:22 +0000 2022;RT @InformNapalm: 7 years ago, Feb 10, 2015, Russian hybrid armed groups shelled Ukrainian city of Kramatorsk using Smerch MLRS. #Ukraine…;Україна;KatyaYushchenko
josephbvarner;Thu Feb 10 16:00:39 +0000 2022;RT @olgatokariuk: Ukraine’s GDP increased by 3.2% in 2021. Despite the pandemic, the ongoing war, and the threat of another invasion by Rus…;ON;KatyaYushchenko
albertarabbit;Thu Feb 10 16:00:34 +0000 2022;"RT @EmpireinWinter: Vital Correction:
Putin is explaining, as if to children, in the bluntest terms yet that if NATO admits Ukraine &amp; Ukrai…";No Longer in Alberta. ;KatyaYushchenko
david7000lee;Thu Feb 10 16:00:34 +0000 2022;RT @trussliz: This week I am in Moscow to deliver a strong message that war in Ukraine would be disastrous for Russia, Ukraine and European…;Georgia;KatyaYushchenko
anonymiss8;Thu Feb 10 16:00:04 +0000 2022;RT @stuallcock: @exeit @MuradGazdiev I think us want a war between Russia and Ukraine because they will make money... And also they'll see…;Ireland France Russia China🌎;KatyaYushchenko
camdenroad8;Thu Feb 10 15:59:46 +0000 2022;RT @camdenroad8: @LBC All that's needed to prevent war is a TREATY between Russia and Ukraine. Russia could agree not to carry out any kind…;New York, USA;KatyaYushchenko
MinetteJohnson;Thu Feb 10 15:59:41 +0000 2022;RT @boscogonc: @shottlandka The west led by the U.S., broke all international laws by occupying Ukraine, they are the invaders, not Russia.…;South Africa;KatyaYushchenko
freedom1970a;Thu Feb 10 15:59:38 +0000 2022;"RT @tufkaa: Russia's war against Ukraine isn't ""going to be"" devastating, it already is. 16,000 lives lost should warrant more than ""very c…";Poland ;KatyaYushchenko
StringwallApp;Thu Feb 10 15:59:23 +0000 2022;RT @blu_kryptonian: Russia kicks off huge war games just over Ukraine's border in Belarus - CBS News https://t.co/QisnzBku42 via @GoogleNews;Dayton, OH;KatyaYushchenko
Simon_A_Wood;Thu Feb 10 15:59:07 +0000 2022;"RT @pslweb: VIDEO: Stop the war with Russia over Ukraine — National online rally
https://t.co/fxfBpwJQ8o";Australia;KatyaYushchenko
FisherusPrime;Thu Feb 10 15:58:14 +0000 2022;RT @InformNapalm: 7 years ago, Feb 10, 2015, Russian hybrid armed groups shelled Ukrainian city of Kramatorsk using Smerch MLRS. #Ukraine…;Ukraine, Kharkiv;KatyaYushchenko
ARNAUDJRPB;Thu Feb 10 15:57:46 +0000 2022;RT @olgatokariuk: Ukraine’s GDP increased by 3.2% in 2021. Despite the pandemic, the ongoing war, and the threat of another invasion by Rus…;Монте Карло;KatyaYushchenko
ricardonotes;Thu Feb 10 15:57:42 +0000 2022;RT @RNS: Pope Francis decried the “madness” of war as tensions escalate in Ukraine as the leader of Ukraine’s Eastern-rite Catholics sugges…;USA ;KatyaYushchenko
ukraine_y;Thu Feb 10 15:57:23 +0000 2022;RT @InformNapalm: 7 years ago, Feb 10, 2015, Russian hybrid armed groups shelled Ukrainian city of Kramatorsk using Smerch MLRS. #Ukraine…;   Ukraine;KatyaYushchenko
RanaMalhiRM;Thu Feb 10 15:57:23 +0000 2022;RT @AJEnglish: Men who left Russia in 2014 to join rebels in eastern Ukraine have differing views on where today’s conflict is headed ⤵️ ht…;Islamabad, Pakistan;KatyaYushchenko
GVForsyth;Thu Feb 10 15:56:43 +0000 2022;"RT @LT_OSCE: Lithuania🇱🇹 will provide defensive weapons to Ukraine🇺🇦. 

But we also sincerely hope Russia will choose diplomacy and not war…";California, USA;KatyaYushchenko
RebeccaYeisley;Thu Feb 10 15:55:35 +0000 2022;"RT @anders_aslund: Russia has blocked all sea access to Ukraine.
Isn't this an act of war?
Shouldn't the West respond by imposing its promi…";SoCal and Midwest ❤️land ;KatyaYushchenko
upG03yzDomiXkuL;Thu Feb 10 15:54:47 +0000 2022;"RT @avaza1972: Boris Johnson warns that the Ukraine-Russia crisis is at its ""most dangerous moment"" and that war would be an ""absolute disa…";Україна;KatyaYushchenko
refuturing;Thu Feb 10 15:54:32 +0000 2022;RT @drfarls: Lotta folks will be paying a lot of attention to how Russia and Ukraine utilize UAVs if things go hot... https://t.co/tf3OulKY…;Austin, TX;KatyaYushchenko
clau902;Thu Feb 10 15:53:05 +0000 2022;"RT @Russ_Warrior: ""If #Ukraine joins #NATO and decides to take #Crimea with military means, European countries will be automatically at war…";Cartagena de Indias, Colombia;KatyaYushchenko
Kanongola_;Thu Feb 10 15:51:40 +0000 2022;RT @McFaul: Putin knows one tragic fact about NATO that many on my twitter feed dont. NATO wont accept new members who have Russian soldier…; 🇲🇿;KatyaYushchenko
VenomPit360;Fri Feb 11 23:59:56 +0000 2022;RT @JewishResister: It's incredible MAGA GOP are blaming Russia invading Ukraine on Biden, while Trump literally licked Putin's asshole on…;Vancouver, WA;KatyaYushchenko
Bellarusque;Fri Feb 11 23:59:37 +0000 2022;RT @juliaioffe: If you're freaked out by the news today that Russia might finally invade Ukraine, but don't understand what's in it for Rus…;rent free in your head;KatyaYushchenko
OswaldRachel;Fri Feb 11 23:59:36 +0000 2022;RT @zachsdorfman: Just want to pause for a second to acknowledge that, if Russia does indeed launch a new war against Ukraine, the Ukrainia…;Washington;KatyaYushchenko
LindaHooker17;Fri Feb 11 23:59:32 +0000 2022;RT @prairielive: As military buildups continue by both Russian and NATO forces around Ukraine, European leaders have gone into diplomatic o…;United States;KatyaYushchenko
xfrhnx;Fri Feb 11 23:59:28 +0000 2022;RT @RALee85: I want to emphasize this once more, Russia's current military buildup near Ukraine is unprecedented. This is not like previous…;Hebron;KatyaYushchenko
assiduousrabbit;Fri Feb 11 23:59:07 +0000 2022;RT @snopes: Biden has said the U.S. military will not enter a war in Ukraine, but he has promised severe economic sanctions against Moscow,…;nymetro;KatyaYushchenko
McKennaGray12;Fri Feb 11 23:59:07 +0000 2022;RT @MarvisGains: Ukraine wants to join NATO, Russia fears that will give Ukraine enough backing and power to want to collect Crimea (a form…;USA;KatyaYushchenko
little7bear;Fri Feb 11 23:59:04 +0000 2022;RT @olgatokariuk: A heartbreaking long read from the BBC on the hidden costs of Russia's war against Ukraine. Thank you @PaulNiland for you…;Switzerland;KatyaYushchenko
R_Daneel_0livaw;Fri Feb 11 23:58:53 +0000 2022;RT @GordonGChang: When #Biden took office, the world was stable. Now, we are on the verge of war, in both #Europe and #Asia. #Ukraine #Ukra…;Outside the FEMA camp for now;KatyaYushchenko
raiya_zak;Fri Feb 11 23:58:53 +0000 2022;RT @afshinrattansi: BREAKING: 🇺🇲Joe Biden administration to deploy ANOTHER 3,000 82nd Airborne Division (cf Iraq Afghanistan) troops to Pol…;London;KatyaYushchenko
Sunnipulse786;Fri Feb 11 23:58:47 +0000 2022;"RT @shustry: Saying Russia could invade Ukraine ""any day"" is a non-statement. It's not wrong, it's just tautology. Russia invaded in 2014.…";England, United Kingdom;KatyaYushchenko
NewsAnatomy13;Fri Feb 11 23:58:44 +0000 2022;"RT @Matt_VanDyke: World War 3, World War III, and WWIII trending thanks to #Russia bots &amp; propaganda accounts to scare people about #Ukrain…";in ya 🧠;KatyaYushchenko
weeMar80;Fri Feb 11 23:58:41 +0000 2022;RT @johnpilger: Tory scandals are a facade for war. The unreported facts are: Russian troops are in Russia. British troops are on Russia's…;edinburgh;KatyaYushchenko
DevinRice;Fri Feb 11 23:58:40 +0000 2022;RT @cossa68: More proof twitter is a tool of war. Seems like only yesterday, this shit app was promoting the US orchestrated coup in Ukrain…;Canaduh;KatyaYushchenko
DarkVadoge;Fri Feb 11 23:58:35 +0000 2022;RT @BigImpactHumans: I may have made some twitter jokes but in reality war is horrendous and I believe it should be avoided at all cost. I…;Somewhere much wow;KatyaYushchenko
Shea08039680;Fri Feb 11 23:58:32 +0000 2022;RT @OriginalKooLaLa: The Americans pulled their troops out of Afghanistan so that they would have cannon fodder for the war they have been…;twitter reborn!;KatyaYushchenko
SouthernGal918;Fri Feb 11 23:58:26 +0000 2022;RT @AlanRMacLeod: The West is funnelling weapons to Neo-Nazis in Ukraine so they can carry out a brutal war against Russian speaking minori…;Dallas, Texas, USA;KatyaYushchenko
1MasonGleiber;Fri Feb 11 23:58:20 +0000 2022;RT @GordonGChang: When #Biden took office, the world was stable. Now, we are on the verge of war, in both #Europe and #Asia. #Ukraine #Ukra…;United States;KatyaYushchenko
